poz;ad;tip;genislik_cm;derinlik_cm;yukseklik_cm;x_cm;y_cm;aci_derece;ayak_izi_m2
M1;Calisma masasi;Mobilya;160;75;75;258;130;0;1.200
D1;Cift kanatli elbise/evrak dolabi;Mobilya;80;55;185;28;180;-90;0.440
K2;80 cm rafli modul (kitaplik kabul edildi);Mobilya;80;35;185;95;250;180;0.280
S1;Yonetici calisma koltugu;Mobilya;62;62;112;258;200;180;0.384
S2;Misafir sandalyesi (istiflenebilir);Mobilya;48;54;82;258;55;0;0.259
A1;Yazici altligi / alcak dolap;Mobilya;90;45;62;345;215;90;0.405
C1;Ayakli askilik;Mobilya;38;38;178;340;30;0;0.144
W1;Pedalli cop kovasi;Mobilya;30;30;42;225;138;0;0.090
E1;24" monitor;Ekipman;55;20;42;268;112;0;0.110
E2;Masaustu bilgisayar;Ekipman;20;45;42;200;120;0;0.090
E3;Klavye;Ekipman;44;15;3;268;148;0;0.066
E4;Mouse;Ekipman;7;11;4;300;150;0;0.008
E5;Klasor / not defteri;Ekipman;24;32;3;320;145;-6;0.093
E6;Kalemlik (hasir);Ekipman;11;11;20;228;108;0;0.012
E7;Zimba / kutu;Ekipman;12;7;4;222;128;0;0.008
E8;Bardak altligi;Ekipman;11;11;1;242;132;0;0.012
E9;Fotokopi / yazici;Ekipman;58;42;44;345;215;90;0.244
X1;Mavi klasor;Esya;8;30;32;10;161;4;0.031
X2;Eski CRT monitor;Esya;34;32;28;29;165;-6;0.131
X3;Kutu oyunu;Esya;30;22;6;29;199;102;0.094
X4;Futbol topu;Esya;22;22;22;42;252;0;0.048
X5;Karton rulo;Esya;38;12;12;30;232;0;0.046
